model,alpha,CV_R2_mean,CV_R2_std
Ridge Regression,0.0001,0.8040849240952372,0.004250888939495401
Ridge Regression,0.001,0.8040849241207368,0.004250890366427708
Ridge Regression,0.01,0.8040849243733579,0.0042509046357117235
Ridge Regression,0.1,0.8040849266621256,0.00425104732462425
Ridge Regression,1.0,0.8040849258141577,0.004252473820727809
Ridge Regression,10.0,0.8040825523949694,0.004266699230604189
Ridge Regression,100.0,0.8038307185716753,0.0044047856749113495
Lasso Regression,0.0001,0.8041008228859926,0.004266385885775072
Lasso Regression,0.001,0.8041336856097596,0.004396140981575518
Lasso Regression,0.01,0.800276383863374,0.004772190760906516
Lasso Regression,0.1,0.5454915721665908,0.004812187392159702
Lasso Regression,1.0,-0.0011810672041636216,0.0008971375581118821
Lasso Regression,10.0,-0.0011810672041636216,0.0008971375581118821
Lasso Regression,100.0,-0.0011810672041636216,0.0008971375581118821
